ID,Full Name,Phone Number
10523,Perepelytsja Adam Jukhymovych,+380666446427
10524,Andrijchuk Serhij Mykolayivna,+380664341096
10525,Andriyenko Amalija Teodorivna,+380991682817
10526,Sych Petro Boleslavivna,+380954234240
10527,Shvachka Ivan Boleslavivna,+380984261827
10528,Bashpolchenko Kyrylo Ihnatovych,+380676680485
10529,Nikoljuk Zlatoslava Boleslavovych,+380665041669
10530,Nesterenko Ruslan Danylivna,+380999309693
10531,Hayevs'ka Bohuslava Antonovych,+380977324237
10532,Korbut Jukhym Hryhorijovych,+380935133612
10533,Chajka Violetta Orestivna,+380998338371
10534,Hrechanyk Mykyta Vadymovych,+380682208150
10535,Shvachka Lilija Hlibivna,+380988205098
10536,Shvachka Prokhir Venedyktovych,+380960725453
10537,Dubyna Yefrem Leontijovych,+380965163660
10538,Tykha Yefrem Bohdanovych,+380934585155
10539,Bajda Orkhyp Heorhiyivna,+380738365675
10540,Makarenko Venijamyn Jakovovych,+380970509789
10541,Chalenko Vasylyna Valeriyivna,+380687312944
10542,Ishchak Pylyp Spasivna,+380738349652
10543,Makohon Vasylyna Demydovych,+380981130431
10544,Zarudna Illja Boryslavovych,+380952914074
10545,Vovk Roksolana Ihorivna,+380671524867
10546,Yemets' Leon Pantelejmonivna,+380939783890
10547,Ejbozhenko Solomija Oleksovych,+380689626421
10548,Khudjak Oksenija Mykytivna,+380736913535
10549,Barabash Tereza Adamovych,+380632851896
10550,Baranyk Levko Jukhymovych,+380971653151
10551,Jurchenko Maksym Zakharivna,+380980437592
10552,Azhazha Stepan Nazarivna,+380979517228
10553,Okhrymovych Fedir Boleslavovych,+380952100391
10554,Rjabets' Liza Oles'ovych,+380953420960
10555,Shelest Ihnat Mykolajovych,+380989428564
10556,Hohol' Justym Borysovych,+380502324977
10557,Zinchuk Zlatoslava Davydovych,+380962504130
10558,Arkhymovych Oleksandr Myroslavovych,+380966543400
10559,Vashchuk Violetta Kyrylivna,+380666734807
10560,Venhrynovych Omeljan Nestorivna,+380636613286
10561,Durdynets' Pantelejmon Svjatoslavivna,+380982668409
10562,Somko Danylo Ihorovych,+380732454486
10563,Arkhymovych Svjatoslav Hordijovych,+380958343822
10564,Shtepa Zakhar Venijamynivna,+380977314736
10565,Romanchuk Bohdan Ustymivna,+380955396468
10566,Holoborod'ko Anita Pylypovych,+380956713076
10567,Rud'ko Hennadij Vitaliyivna,+380734383824
10568,Jurchuk Liza Serhiyivna,+380687750159
10569,Zabila Stefan Romanovych,+380688772767
10570,Korsun Ustym Jaremivna,+380734993000
10571,Karmaljuk Halyna Aaronivna,+380994887137
10572,Mykhajljuk Boryslav Petrivna,+380968218562
10573,Taran Anton Valentynovych,+380736799247
10574,Datsenko Khoma Davydovych,+380938002589
10575,Karas' Al'bert Demydovych,+380951544208
10576,Chekaljuk Frants Pylypovych,+380955000550
10577,Mazur Natalija Ihnativna,+380684489929
10578,Karas' Mykyta Opanasivna,+380950494662
10579,Jarosh Al'bert Arkadijovych,+380672538404
10580,Opanasenko Milena Al'bertovych,+380636759197
10581,Jushchenko Herman Fedorivna,+380739659390
10582,Jakovenko Oleksa Teodorovych,+380955105850
10583,Zhalilo Nestor Avhustynovych,+380506578895
10584,Babak Justyna Josypivna,+380993603615
10585,Kashchenko Eduard Nazarovych,+380969188657
10586,Jakymchuk Snizhana Hennadiyivna,+380969675011
10587,Babko Al'bert Serhijovych,+380990723677
10588,Gerega Klyment Boryslavivna,+380733741823
10589,Vatamanjuk Marija Hryhoriyivna,+380956544591
10590,Khudjak Viktorija Opanasovych,+380675532193
10591,Khomenko Ivan Myronivna,+380678000023
10592,Drobakha Petro Al'bertovych,+380663831360
10593,Tsymbal Stefan Venijamynivna,+380670443263
10594,Chmil' Viktorija Vladyslavivna,+380634793961
10595,Bhydenko Adam Davydovych,+380939985532
10596,Shvajka Ostap Rostyslavovych,+380507017630
10597,Malyk Ihnat Symonovych,+380985081994
10598,Goljash Edyta Makarovych,+380672028907
10599,Hajdenko Alla Jaremovych,+380507896969
10600,Zinchuk Alla Myronovych,+380660924440
10601,Chervonenko Valentyna Markivna,+380670696081
10602,Tsisyk Azar Ruslanovych,+380667620666
10603,Arsenych Halyna Artemovych,+380952575964
10604,Averchenko Kyrylo Lukʼjanovych,+380675487522
10605,Tereshchenko Volodymyr Spasivna,+380963028764
10606,Turkalo Dan Pantelejmonovych,+380968777580
10607,Arkhymovych Yevhen Vasyl'ovych,+380965528979
10608,Tsymbal Jaroslav Zorjanivna,+380636556920
10609,Artemenko Omeljan Ostapovych,+380997679389
10610,Goljash Jaroslav Vadymivna,+380979723586
10611,Yemel'janenko Yelysej Danivna,+380991697904
10612,Mykhajljuk Trokhym Oleksovych,+380500611022
10613,Shovkopljas Oleksa Myronivna,+380506975247
10614,Kalenychenko Roman Vʼjacheslavivna,+380633360832
10615,Jaremko Irena Avrelijovych,+380678598831
10616,Ovsiyenko Fedir Adamovych,+380688052404
10617,Stus Nadija Markivna,+380969722489
10618,Shcherbak Makar Spasivna,+380989040380
10619,Perebyjnis Dmytro Myronivna,+380508537797
10620,Zarudna Vadym Eduardivna,+380970929636
10621,Tykhyj Kyrylo Zorjanovych,+380994444333
10622,Rud'ko Ihnat Myroslavovych,+380965996886
10623,Perebyjnis Bohdan Justymivna,+380982917756
10624,Bazylevs'kyj Josyp Solomonovych,+380670904293
10625,Kanivets' Valentyn Demʼjanivna,+380980199104
10626,Vernyhora Yevhen Orestivna,+380962109457
10627,Symonenko Tereza Markivna,+380938241679
10628,Shyjan Josyp Volodymyrovych,+380502267464
10629,Neporozhnij Petro Nestorivna,+380508555924
10630,Nehoda Onysym Solomonovych,+380968217925
10631,Zubko Anastasija Lukʼjanivna,+380952734937
10632,Kybkalo Yefrem Vladyslavivna,+380735547108
10633,Yemel'janenko Artem Ustymivna,+380501867092
